x,y,name
-2.7284265,-25.670195,harvard_16k_mono
-4.2072287,-25.195566,OSR_us_000_0010_8k
-3.2489111,-24.85629,OSR_us_000_0011_8k
-3.837324,-26.11511,OSR_us_000_0012_8k
