x,y,name
-8.196445,-2.0842993,harvard_16k_mono
-9.663824,-1.5431719,OSR_us_000_0010_8k
-8.752607,-1.146909,OSR_us_000_0011_8k
-9.1023855,-2.4113,OSR_us_000_0012_8k
